,分词,分词索引化
65,"['中信证券', '股份', '有限公司', '本次', '交易', '符合']","[99190, 11068, 11426, 10165, 2175, 1371]"
66,"['青岛', '日辰', '食品', '股份', '有限公司', '年', '股票', '期权', '激励', '计划', '激励', '对象', '名单', '更正', '后']","[7227, 213815, 1604, 11068, 11426, 50, 2913, 19759, 5596, 887, 5596, 1679, 6657, 20168, 84]"
67,"['青岛', '日辰', '食品', '股份', '有限公司', '年', '股票', '期权', '激励', '计划', '草案', '更正', '后']","[7227, 213815, 1604, 11068, 11426, 50, 2913, 19759, 5596, 887, 34782, 20168, 84]"
68,"['青岛', '日辰', '食品', '股份', '有限公司', '年', '股票', '期权', '激励', '计划', '草案', '摘要', '更正', '后']","[7227, 213815, 1604, 11068, 11426, 50, 2913, 19759, 5596, 887, 34782, 22686, 20168, 84]"
69,"['青岛', '日辰', '食品', '股份', '有限公司', '年', '股票', '期权', '激励', '计划', '相关', '更正']","[7227, 213815, 1604, 11068, 11426, 50, 2913, 19759, 5596, 887, 530, 20168]"
70,"['上海', '电力', '股份', '有限公司', '持有', '淮南', '矿业', '全部', '股权', '换股', '淮河', '能源', '股份', '关联', '交易']","[829, 8805, 11068, 11426, 5867, 29881, 46358, 607, 9255, 136183, 27355, 3856, 11068, 6328, 2175]"
71,"['上海', '电力', '关联', '交易', '独立', '董事', '事前', '认可', '函']","[829, 8805, 6328, 2175, 988, 25899, 17110, 2895, 28939]"
72,"['上海', '电力', '独立', '董事', '关联', '交易', '事项', '独立', '意见函']","[829, 8805, 988, 25899, 6328, 2175, 15891, 988, 0]"
73,"['武汉', '当代', '明诚', '文化', '体育', '集团股份', '有限公司', '年', '年度报告', '信息', '披露', '监管', '工作', '函', '回复']","[3878, 5814, 212035, 525, 3174, 163991, 11426, 50, 105611, 590, 14061, 4408, 166, 28939, 1446]"
74,"['亚太', '集团', '会计师', '事务所', '特殊', '普通', '合伙']","[21711, 3012, 24689, 25653, 2019, 639, 15385]"
75,"['浙江', '永和', '制冷', '股份', '有限公司', '公开', '发行', '转换', '公司债券', '申请', '文件', '反馈', '意见', '回复']","[5549, 78742, 26782, 11068, 11426, 2314, 5698, 5583, 221683, 1863, 3177, 4822, 2497, 1446]"
76,"['联盛', '化学', '年', '年度', '权益', '分派', '实施']","[0, 2588, 50, 6892, 6385, 60412, 3072]"
77,"['兴业', '证券', '股份', '有限公司', '厦门', '厦', '钨', '新能源', '材料', '股份', '有限公司', '年度', '特定', '对象', '发行股票', '发行', '保荐', '书']","[73748, 9932, 11068, 11426, 8854, 73552, 57608, 14623, 1900, 11068, 11426, 6892, 3850, 1679, 138888, 5698, 148681, 473]"
78,"['厦门', '厦', '钨', '新能源', '材料', '股份', '有限公司', '年度', '特定', '对象', '发行', '股', '股票', '募集', '说明书', '注册', '稿']","[8854, 73552, 57608, 14623, 1900, 11068, 11426, 6892, 3850, 1679, 5698, 1701, 2913, 25802, 15235, 3940, 8018]"
79,"['厦门', '厦', '钨', '新能源', '材料', '股份', '有限公司', '特定', '对象', '发行股票', '提交', '募集', '说明书', '注册', '稿', '提示性']","[8854, 73552, 57608, 14623, 1900, 11068, 11426, 3850, 1679, 138888, 7969, 25802, 15235, 3940, 8018, 186770]"
